year,group_name,team_a,team_b,team_c,ab_pts_for_a,bc_pts_for_b,ac_pts_for_a,a_beats_b,b_beats_c,is_transitivity_triple,transitive,rank_a,rank_b,rank_c,rank_gap_ab,rank_gap_bc,rank_gap_ac
1998,Group E,Netherlands,Belgium,Mexico,0.5,0.5,0.5,0,0,0,,25,36,4,-11,32,21
1998,Group E,Netherlands,Belgium,South Korea,0.5,0.5,1.0,0,0,0,,25,36,,-11,,
1998,Group E,Netherlands,Mexico,Belgium,0.5,0.5,0.5,0,0,0,,25,4,36,21,-32,-11
1998,Group E,Netherlands,Mexico,South Korea,0.5,1.0,1.0,0,1,0,,25,4,,21,,
1998,Group E,Netherlands,South Korea,Belgium,1.0,0.5,0.5,1,0,0,,25,,36,,,-11
1998,Group E,Netherlands,South Korea,Mexico,1.0,0.0,0.5,1,0,0,,25,,4,,,21
1998,Group E,South Korea,Belgium,Mexico,0.5,0.5,0.0,0,0,0,,,36,4,,32,
1998,Group E,South Korea,Belgium,Netherlands,0.5,0.5,0.0,0,0,0,,,36,25,,11,
1998,Group E,South Korea,Mexico,Belgium,0.0,0.5,0.5,0,0,0,,,4,36,,-32,
1998,Group E,South Korea,Mexico,Netherlands,0.0,0.5,0.0,0,0,0,,,4,25,,-21,
1998,Group E,South Korea,Netherlands,Belgium,0.0,0.5,0.5,0,0,0,,,25,36,,-11,
1998,Group E,South Korea,Netherlands,Mexico,0.0,0.5,0.0,0,0,0,,,25,4,,21,
1998,Group F,Germany,Iran,United States,1.0,1.0,1.0,1,1,1,1,2,,,,,
1998,Group F,Germany,Iran,Yugoslavia,1.0,0.0,0.5,1,0,0,,2,,8,,,-6
1998,Group F,Germany,United States,Iran,1.0,0.0,1.0,1,0,0,,2,,,,,
1998,Group F,Germany,United States,Yugoslavia,1.0,0.0,0.5,1,0,0,,2,,8,,,-6
1998,Group F,Germany,Yugoslavia,Iran,0.5,1.0,1.0,0,1,0,,2,8,,-6,,
1998,Group F,Germany,Yugoslavia,United States,0.5,1.0,1.0,0,1,0,,2,8,,-6,,
1998,Group F,Iran,Germany,United States,0.0,1.0,1.0,0,1,0,,,2,,,,
1998,Group F,Iran,Germany,Yugoslavia,0.0,0.5,0.0,0,0,0,,,2,8,,-6,
1998,Group F,Iran,United States,Germany,1.0,0.0,0.0,1,0,0,,,,2,,,
1998,Group F,Iran,United States,Yugoslavia,1.0,0.0,0.0,1,0,0,,,,8,,,
1998,Group F,Iran,Yugoslavia,Germany,0.0,0.5,0.0,0,0,0,,,8,2,,6,
1998,Group F,Iran,Yugoslavia,United States,0.0,1.0,1.0,0,1,0,,,8,,,,
1998,Group F,United States,Germany,Iran,0.0,1.0,0.0,0,1,0,,,2,,,,
1998,Group F,United States,Germany,Yugoslavia,0.0,0.5,0.0,0,0,0,,,2,8,,-6,
1998,Group F,United States,Iran,Germany,0.0,0.0,0.0,0,0,0,,,,2,,,
1998,Group F,United States,Iran,Yugoslavia,0.0,0.0,0.0,0,0,0,,,,8,,,
1998,Group F,United States,Yugoslavia,Germany,0.0,0.5,0.0,0,0,0,,,8,2,,6,
1998,Group F,United States,Yugoslavia,Iran,0.0,1.0,0.0,0,1,0,,,8,,,,
1998,Group F,Yugoslavia,Germany,Iran,0.5,1.0,1.0,0,1,0,,8,2,,6,,
1998,Group F,Yugoslavia,Germany,United States,0.5,1.0,1.0,0,1,0,,8,2,,6,,
1998,Group F,Yugoslavia,Iran,Germany,1.0,0.0,0.5,1,0,0,,8,,2,,,6
1998,Group F,Yugoslavia,Iran,United States,1.0,1.0,1.0,1,1,1,1,8,,,,,
1998,Group F,Yugoslavia,United States,Germany,1.0,0.0,0.5,1,0,0,,8,,2,,,6
1998,Group F,Yugoslavia,United States,Iran,1.0,0.0,1.0,1,0,0,,8,,,,,
1998,Group G,Colombia,England,Romania,0.0,0.0,0.0,0,0,0,,10,5,22,5,-17,-12
1998,Group G,Colombia,England,Tunisia,0.0,1.0,1.0,0,1,0,,10,5,21,5,-16,-11
1998,Group G,Colombia,Romania,England,0.0,1.0,0.0,0,1,0,,10,22,5,-12,17,5
1998,Group G,Colombia,Romania,Tunisia,0.0,0.5,1.0,0,0,0,,10,22,21,-12,1,-11
1998,Group G,Colombia,Tunisia,England,1.0,0.0,0.0,1,0,0,,10,21,5,-11,16,5
1998,Group G,Colombia,Tunisia,Romania,1.0,0.5,0.0,1,0,0,,10,21,22,-11,-1,-12
1998,Group G,England,Colombia,Romania,1.0,0.0,0.0,1,0,0,,5,10,22,-5,-12,-17
1998,Group G,England,Colombia,Tunisia,1.0,1.0,1.0,1,1,1,1,5,10,21,-5,-11,-16
1998,Group G,England,Romania,Colombia,0.0,1.0,1.0,0,1,0,,5,22,10,-17,12,-5
1998,Group G,England,Romania,Tunisia,0.0,0.5,1.0,0,0,0,,5,22,21,-17,1,-16
1998,Group G,England,Tunisia,Colombia,1.0,0.0,1.0,1,0,0,,5,21,10,-16,11,-5
1998,Group G,England,Tunisia,Romania,1.0,0.5,0.0,1,0,0,,5,21,22,-16,-1,-17
1998,Group G,Romania,Colombia,England,1.0,0.0,1.0,1,0,0,,22,10,5,12,5,17
1998,Group G,Romania,Colombia,Tunisia,1.0,1.0,0.5,1,1,1,0,22,10,21,12,-11,1
1998,Group G,Romania,England,Colombia,1.0,1.0,1.0,1,1,1,1,22,5,10,17,-5,12
1998,Group G,Romania,England,Tunisia,1.0,1.0,0.5,1,1,1,0,22,5,21,17,-16,1
1998,Group G,Romania,Tunisia,Colombia,0.5,0.0,1.0,0,0,0,,22,21,10,1,11,12
1998,Group G,Romania,Tunisia,England,0.5,0.0,1.0,0,0,0,,22,21,5,1,16,17
1998,Group G,Tunisia,Colombia,England,0.0,0.0,0.0,0,0,0,,21,10,5,11,5,16
1998,Group G,Tunisia,Colombia,Romania,0.0,0.0,0.5,0,0,0,,21,10,22,11,-12,-1
1998,Group G,Tunisia,England,Colombia,0.0,1.0,0.0,0,1,0,,21,5,10,16,-5,11
1998,Group G,Tunisia,England,Romania,0.0,0.0,0.5,0,0,0,,21,5,22,16,-17,-1
1998,Group G,Tunisia,Romania,Colombia,0.5,1.0,0.0,0,1,0,,21,22,10,-1,12,11
1998,Group G,Tunisia,Romania,England,0.5,1.0,0.0,0,1,0,,21,22,5,-1,17,16
1998,Group H,Argentina,Croatia,Jamaica,1.0,1.0,1.0,1,1,1,1,6,19,30,-13,-11,-24
1998,Group H,Argentina,Croatia,Japan,1.0,1.0,1.0,1,1,1,1,6,19,12,-13,7,-6
1998,Group H,Argentina,Jamaica,Croatia,1.0,0.0,1.0,1,0,0,,6,30,19,-24,11,-13
1998,Group H,Argentina,Jamaica,Japan,1.0,1.0,1.0,1,1,1,1,6,30,12,-24,18,-6
1998,Group H,Argentina,Japan,Croatia,1.0,0.0,1.0,1,0,0,,6,12,19,-6,-7,-13
1998,Group H,Argentina,Japan,Jamaica,1.0,0.0,1.0,1,0,0,,6,12,30,-6,-18,-24
1998,Group H,Croatia,Argentina,Jamaica,0.0,1.0,1.0,0,1,0,,19,6,30,13,-24,-11
1998,Group H,Croatia,Argentina,Japan,0.0,1.0,1.0,0,1,0,,19,6,12,13,-6,7
1998,Group H,Croatia,Jamaica,Argentina,1.0,0.0,0.0,1,0,0,,19,30,6,-11,24,13
1998,Group H,Croatia,Jamaica,Japan,1.0,1.0,1.0,1,1,1,1,19,30,12,-11,18,7
1998,Group H,Croatia,Japan,Argentina,1.0,0.0,0.0,1,0,0,,19,12,6,7,6,13
1998,Group H,Croatia,Japan,Jamaica,1.0,0.0,1.0,1,0,0,,19,12,30,7,-18,-11
1998,Group H,Jamaica,Argentina,Croatia,0.0,1.0,0.0,0,1,0,,30,6,19,24,-13,11
1998,Group H,Jamaica,Argentina,Japan,0.0,1.0,1.0,0,1,0,,30,6,12,24,-6,18
1998,Group H,Jamaica,Croatia,Argentina,0.0,0.0,0.0,0,0,0,,30,19,6,11,13,24
1998,Group H,Jamaica,Croatia,Japan,0.0,1.0,1.0,0,1,0,,30,19,12,11,7,18
1998,Group H,Jamaica,Japan,Argentina,1.0,0.0,0.0,1,0,0,,30,12,6,18,6,24
1998,Group H,Jamaica,Japan,Croatia,1.0,0.0,0.0,1,0,0,,30,12,19,18,-7,11
1998,Group H,Japan,Argentina,Croatia,0.0,1.0,0.0,0,1,0,,12,6,19,6,-13,-7
1998,Group H,Japan,Argentina,Jamaica,0.0,1.0,0.0,0,1,0,,12,6,30,6,-24,-18
1998,Group H,Japan,Croatia,Argentina,0.0,0.0,0.0,0,0,0,,12,19,6,-7,13,6
1998,Group H,Japan,Croatia,Jamaica,0.0,1.0,0.0,0,1,0,,12,19,30,-7,-11,-18
1998,Group H,Japan,Jamaica,Argentina,0.0,0.0,0.0,0,0,0,,12,30,6,-18,24,6
1998,Group H,Japan,Jamaica,Croatia,0.0,0.0,0.0,0,0,0,,12,30,19,-18,11,-7
2002,Group A,Denmark,France,Senegal,1.0,0.0,0.5,1,0,0,,20,1,42,19,-41,-22
2002,Group A,Denmark,France,Uruguay,1.0,0.5,1.0,1,0,0,,20,1,24,19,-23,-4
2002,Group A,Denmark,Senegal,France,0.5,1.0,1.0,0,1,0,,20,42,1,-22,41,19
2002,Group A,Denmark,Senegal,Uruguay,0.5,0.5,1.0,0,0,0,,20,42,24,-22,18,-4
2002,Group A,Denmark,Uruguay,France,1.0,0.5,1.0,1,0,0,,20,24,1,-4,23,19
2002,Group A,Denmark,Uruguay,Senegal,1.0,0.5,0.5,1,0,0,,20,24,42,-4,-18,-22
2002,Group A,France,Denmark,Senegal,0.0,0.5,0.0,0,0,0,,1,20,42,-19,-22,-41
2002,Group A,France,Denmark,Uruguay,0.0,1.0,0.5,0,1,0,,1,20,24,-19,-4,-23
2002,Group A,France,Senegal,Denmark,0.0,0.5,0.0,0,0,0,,1,42,20,-41,22,-19
2002,Group A,France,Senegal,Uruguay,0.0,0.5,0.5,0,0,0,,1,42,24,-41,18,-23
2002,Group A,France,Uruguay,Denmark,0.5,0.0,0.0,0,0,0,,1,24,20,-23,4,-19
2002,Group A,France,Uruguay,Senegal,0.5,0.5,0.0,0,0,0,,1,24,42,-23,-18,-41
2002,Group A,Senegal,Denmark,France,0.5,1.0,1.0,0,1,0,,42,20,1,22,19,41
2002,Group A,Senegal,Denmark,Uruguay,0.5,1.0,0.5,0,1,0,,42,20,24,22,-4,18
2002,Group A,Senegal,France,Denmark,1.0,0.0,0.5,1,0,0,,42,1,20,41,-19,22
2002,Group A,Senegal,France,Uruguay,1.0,0.5,0.5,1,0,0,,42,1,24,41,-23,18
2002,Group A,Senegal,Uruguay,Denmark,0.5,0.0,0.5,0,0,0,,42,24,20,18,4,22
2002,Group A,Senegal,Uruguay,France,0.5,0.5,1.0,0,0,0,,42,24,1,18,23,41
2002,Group A,Uruguay,Denmark,France,0.0,1.0,0.5,0,1,0,,24,20,1,4,19,23
2002,Group A,Uruguay,Denmark,Senegal,0.0,0.5,0.5,0,0,0,,24,20,42,4,-22,-18
2002,Group A,Uruguay,France,Denmark,0.5,0.0,0.0,0,0,0,,24,1,20,23,-19,4
2002,Group A,Uruguay,France,Senegal,0.5,0.0,0.5,0,0,0,,24,1,42,23,-41,-18
2002,Group A,Uruguay,Senegal,Denmark,0.5,0.5,0.0,0,0,0,,24,42,20,-18,22,4
2002,Group A,Uruguay,Senegal,France,0.5,1.0,0.5,0,1,0,,24,42,1,-18,41,23
2002,Group B,Paraguay,Slovenia,South Africa,1.0,0.0,0.5,1,0,0,,18,25,37,-7,-12,-19
2002,Group B,Paraguay,Slovenia,Spain,1.0,0.0,0.0,1,0,0,,18,25,8,-7,17,10
2002,Group B,Paraguay,South Africa,Slovenia,0.5,1.0,1.0,0,1,0,,18,37,25,-19,12,-7
2002,Group B,Paraguay,South Africa,Spain,0.5,0.0,0.0,0,0,0,,18,37,8,-19,29,10
2002,Group B,Paraguay,Spain,Slovenia,0.0,1.0,1.0,0,1,0,,18,8,25,10,-17,-7
2002,Group B,Paraguay,Spain,South Africa,0.0,1.0,0.5,0,1,0,,18,8,37,10,-29,-19
2002,Group B,Slovenia,Paraguay,South Africa,0.0,0.5,0.0,0,0,0,,25,18,37,7,-19,-12
2002,Group B,Slovenia,Paraguay,Spain,0.0,0.0,0.0,0,0,0,,25,18,8,7,10,17
2002,Group B,Slovenia,South Africa,Paraguay,0.0,0.5,0.0,0,0,0,,25,37,18,-12,19,7
2002,Group B,Slovenia,South Africa,Spain,0.0,0.0,0.0,0,0,0,,25,37,8,-12,29,17
2002,Group B,Slovenia,Spain,Paraguay,0.0,1.0,0.0,0,1,0,,25,8,18,17,-10,7
2002,Group B,Slovenia,Spain,South Africa,0.0,1.0,0.0,0,1,0,,25,8,37,17,-29,-12
2002,Group B,South Africa,Paraguay,Slovenia,0.5,1.0,1.0,0,1,0,,37,18,25,19,-7,12
2002,Group B,South Africa,Paraguay,Spain,0.5,0.0,0.0,0,0,0,,37,18,8,19,10,29
2002,Group B,South Africa,Slovenia,Paraguay,1.0,0.0,0.5,1,0,0,,37,25,18,12,7,19
2002,Group B,South Africa,Slovenia,Spain,1.0,0.0,0.0,1,0,0,,37,25,8,12,17,29
2002,Group B,South Africa,Spain,Paraguay,0.0,1.0,0.5,0,1,0,,37,8,18,29,-10,19
2002,Group B,South Africa,Spain,Slovenia,0.0,1.0,1.0,0,1,0,,37,8,25,29,-17,12
2002,Group B,Spain,Paraguay,Slovenia,1.0,1.0,1.0,1,1,1,1,8,18,25,-10,-7,-17
2002,Group B,Spain,Paraguay,South Africa,1.0,0.5,1.0,1,0,0,,8,18,37,-10,-19,-29
2002,Group B,Spain,Slovenia,Paraguay,1.0,0.0,1.0,1,0,0,,8,25,18,-17,7,-10
2002,Group B,Spain,Slovenia,South Africa,1.0,0.0,1.0,1,0,0,,8,25,37,-17,-12,-29
2002,Group B,Spain,South Africa,Paraguay,1.0,0.5,1.0,1,0,0,,8,37,18,-29,19,-10
2002,Group B,Spain,South Africa,Slovenia,1.0,1.0,1.0,1,1,1,1,8,37,25,-29,12,-17
2002,Group C,Brazil,China,Costa Rica,1.0,0.0,1.0,1,0,0,,2,,29,,,-27
2002,Group C,Brazil,China,Turkey,1.0,0.0,1.0,1,0,0,,2,,22,,,-20
2002,Group C,Brazil,Costa Rica,China,1.0,1.0,1.0,1,1,1,1,2,29,,-27,,
2002,Group C,Brazil,Costa Rica,Turkey,1.0,0.5,1.0,1,0,0,,2,29,22,-27,7,-20
2002,Group C,Brazil,Turkey,China,1.0,1.0,1.0,1,1,1,1,2,22,,-20,,
2002,Group C,Brazil,Turkey,Costa Rica,1.0,0.5,1.0,1,0,0,,2,22,29,-20,-7,-27
2002,Group C,China,Brazil,Costa Rica,0.0,1.0,0.0,0,1,0,,,2,29,,-27,
2002,Group C,China,Brazil,Turkey,0.0,1.0,0.0,0,1,0,,,2,22,,-20,
2002,Group C,China,Costa Rica,Brazil,0.0,0.0,0.0,0,0,0,,,29,2,,27,
2002,Group C,China,Costa Rica,Turkey,0.0,0.5,0.0,0,0,0,,,29,22,,7,
2002,Group C,China,Turkey,Brazil,0.0,0.0,0.0,0,0,0,,,22,2,,20,
2002,Group C,China,Turkey,Costa Rica,0.0,0.5,0.0,0,0,0,,,22,29,,-7,
2002,Group C,Costa Rica,Brazil,China,0.0,1.0,1.0,0,1,0,,29,2,,27,,
2002,Group C,Costa Rica,Brazil,Turkey,0.0,1.0,0.5,0,1,0,,29,2,22,27,-20,7
2002,Group C,Costa Rica,China,Brazil,1.0,0.0,0.0,1,0,0,,29,,2,,,27
2002,Group C,Costa Rica,China,Turkey,1.0,0.0,0.5,1,0,0,,29,,22,,,7
2002,Group C,Costa Rica,Turkey,Brazil,0.5,0.0,0.0,0,0,0,,29,22,2,7,20,27
2002,Group C,Costa Rica,Turkey,China,0.5,1.0,1.0,0,1,0,,29,22,,7,,
2002,Group C,Turkey,Brazil,China,0.0,1.0,1.0,0,1,0,,22,2,,20,,
2002,Group C,Turkey,Brazil,Costa Rica,0.0,1.0,0.5,0,1,0,,22,2,29,20,-27,-7
2002,Group C,Turkey,China,Brazil,1.0,0.0,0.0,1,0,0,,22,,2,,,20
2002,Group C,Turkey,China,Costa Rica,1.0,0.0,0.5,1,0,0,,22,,29,,,-7
2002,Group C,Turkey,Costa Rica,Brazil,0.5,0.0,0.0,0,0,0,,22,29,2,-7,27,20
2002,Group C,Turkey,Costa Rica,China,0.5,1.0,1.0,0,1,0,,22,29,,-7,,
2002,Group D,Poland,Portugal,South Korea,0.0,0.0,0.0,0,0,0,,38,5,,33,,
2002,Group D,Poland,Portugal,United States,0.0,0.0,1.0,0,0,0,,38,5,,33,,
2002,Group D,Poland,South Korea,Portugal,0.0,1.0,0.0,0,1,0,,38,,5,,,33
2002,Group D,Poland,South Korea,United States,0.0,0.5,1.0,0,0,0,,38,,,,,
2002,Group D,Poland,United States,Portugal,1.0,1.0,0.0,1,1,1,0,38,,5,,,33
2002,Group D,Poland,United States,South Korea,1.0,0.5,0.0,1,0,0,,38,,,,,
2002,Group D,Portugal,Poland,South Korea,1.0,0.0,0.0,1,0,0,,5,38,,-33,,
2002,Group D,Portugal,Poland,United States,1.0,1.0,0.0,1,1,1,0,5,38,,-33,,
2002,Group D,Portugal,South Korea,Poland,0.0,1.0,1.0,0,1,0,,5,,38,,,-33
2002,Group D,Portugal,South Korea,United States,0.0,0.5,0.0,0,0,0,,5,,,,,
2002,Group D,Portugal,United States,Poland,0.0,0.0,1.0,0,0,0,,5,,38,,,-33
2002,Group D,Portugal,United States,South Korea,0.0,0.5,0.0,0,0,0,,5,,,,,
2002,Group D,South Korea,Poland,Portugal,1.0,0.0,1.0,1,0,0,,,38,5,,33,
2002,Group D,South Korea,Poland,United States,1.0,1.0,0.5,1,1,1,0,,38,,,,
2002,Group D,South Korea,Portugal,Poland,1.0,1.0,1.0,1,1,1,1,,5,38,,-33,
2002,Group D,South Korea,Portugal,United States,1.0,0.0,0.5,1,0,0,,,5,,,,
2002,Group D,South Korea,United States,Poland,0.5,0.0,1.0,0,0,0,,,,38,,,
2002,Group D,South Korea,United States,Portugal,0.5,1.0,1.0,0,1,0,,,,5,,,
2002,Group D,United States,Poland,Portugal,0.0,0.0,1.0,0,0,0,,,38,5,,33,
2002,Group D,United States,Poland,South Korea,0.0,0.0,0.5,0,0,0,,,38,,,,
2002,Group D,United States,Portugal,Poland,1.0,1.0,0.0,1,1,1,0,,5,38,,-33,
2002,Group D,United States,Portugal,South Korea,1.0,0.0,0.5,1,0,0,,,5,,,,
2002,Group D,United States,South Korea,Poland,0.5,1.0,0.0,0,1,0,,,,38,,,
2002,Group D,United States,South Korea,Portugal,0.5,1.0,1.0,0,1,0,,,,5,,,
2002,Group E,Cameroon,Germany,Republic of Ireland,0.0,0.5,0.5,0,0,0,,17,11,15,6,-4,2
2002,Group E,Cameroon,Germany,Saudi Arabia,0.0,1.0,1.0,0,1,0,,17,11,34,6,-23,-17
2002,Group E,Cameroon,Republic of Ireland,Germany,0.5,0.5,0.0,0,0,0,,17,15,11,2,4,6
2002,Group E,Cameroon,Republic of Ireland,Saudi Arabia,0.5,1.0,1.0,0,1,0,,17,15,34,2,-19,-17
2002,Group E,Cameroon,Saudi Arabia,Germany,1.0,0.0,0.0,1,0,0,,17,34,11,-17,23,6
2002,Group E,Cameroon,Saudi Arabia,Republic of Ireland,1.0,0.0,0.5,1,0,0,,17,34,15,-17,19,2
2002,Group E,Germany,Cameroon,Republic of Ireland,1.0,0.5,0.5,1,0,0,,11,17,15,-6,2,-4
2002,Group E,Germany,Cameroon,Saudi Arabia,1.0,1.0,1.0,1,1,1,1,11,17,34,-6,-17,-23
2002,Group E,Germany,Republic of Ireland,Cameroon,0.5,0.5,1.0,0,0,0,,11,15,17,-4,-2,-6
2002,Group E,Germany,Republic of Ireland,Saudi Arabia,0.5,1.0,1.0,0,1,0,,11,15,34,-4,-19,-23
2002,Group E,Germany,Saudi Arabia,Cameroon,1.0,0.0,1.0,1,0,0,,11,34,17,-23,17,-6
2002,Group E,Germany,Saudi Arabia,Republic of Ireland,1.0,0.0,0.5,1,0,0,,11,34,15,-23,19,-4
2002,Group E,Republic of Ireland,Cameroon,Germany,0.5,0.0,0.5,0,0,0,,15,17,11,-2,6,4
2002,Group E,Republic of Ireland,Cameroon,Saudi Arabia,0.5,1.0,1.0,0,1,0,,15,17,34,-2,-17,-19
2002,Group E,Republic of Ireland,Germany,Cameroon,0.5,1.0,0.5,0,1,0,,15,11,17,4,-6,-2
2002,Group E,Republic of Ireland,Germany,Saudi Arabia,0.5,1.0,1.0,0,1,0,,15,11,34,4,-23,-19
2002,Group E,Republic of Ireland,Saudi Arabia,Cameroon,1.0,0.0,0.5,1,0,0,,15,34,17,-19,17,-2
2002,Group E,Republic of Ireland,Saudi Arabia,Germany,1.0,0.0,0.5,1,0,0,,15,34,11,-19,23,4
2002,Group E,Saudi Arabia,Cameroon,Germany,0.0,0.0,0.0,0,0,0,,34,17,11,17,6,23
2002,Group E,Saudi Arabia,Cameroon,Republic of Ireland,0.0,0.5,0.0,0,0,0,,34,17,15,17,2,19
2002,Group E,Saudi Arabia,Germany,Cameroon,0.0,1.0,0.0,0,1,0,,34,11,17,23,-6,17
2002,Group E,Saudi Arabia,Germany,Republic of Ireland,0.0,0.5,0.0,0,0,0,,34,11,15,23,-4,19
2002,Group E,Saudi Arabia,Republic of Ireland,Cameroon,0.0,0.5,0.0,0,0,0,,34,15,17,19,-2,17
2002,Group E,Saudi Arabia,Republic of Ireland,Germany,0.0,0.5,0.0,0,0,0,,34,15,11,19,4,23
2002,Group F,Argentina,England,Nigeria,0.0,0.5,1.0,0,0,0,,3,12,27,-9,-15,-24
2002,Group F,Argentina,England,Sweden,0.0,0.5,0.5,0,0,0,,3,12,19,-9,-7,-16
2002,Group F,Argentina,Nigeria,England,1.0,0.5,0.0,1,0,0,,3,27,12,-24,15,-9
2002,Group F,Argentina,Nigeria,Sweden,1.0,0.0,0.5,1,0,0,,3,27,19,-24,8,-16
2002,Group F,Argentina,Sweden,England,0.5,0.5,0.0,0,0,0,,3,19,12,-16,7,-9
2002,Group F,Argentina,Sweden,Nigeria,0.5,1.0,1.0,0,1,0,,3,19,27,-16,-8,-24
2002,Group F,England,Argentina,Nigeria,1.0,1.0,0.5,1,1,1,0,12,3,27,9,-24,-15
2002,Group F,England,Argentina,Sweden,1.0,0.5,0.5,1,0,0,,12,3,19,9,-16,-7
2002,Group F,England,Nigeria,Argentina,0.5,0.0,1.0,0,0,0,,12,27,3,-15,24,9
2002,Group F,England,Nigeria,Sweden,0.5,0.0,0.5,0,0,0,,12,27,19,-15,8,-7
2002,Group F,England,Sweden,Argentina,0.5,0.5,1.0,0,0,0,,12,19,3,-7,16,9
2002,Group F,England,Sweden,Nigeria,0.5,1.0,0.5,0,1,0,,12,19,27,-7,-8,-15
2002,Group F,Nigeria,Argentina,England,0.0,0.0,0.5,0,0,0,,27,3,12,24,-9,15
2002,Group F,Nigeria,Argentina,Sweden,0.0,0.5,0.0,0,0,0,,27,3,19,24,-16,8
2002,Group F,Nigeria,England,Argentina,0.5,1.0,0.0,0,1,0,,27,12,3,15,9,24
2002,Group F,Nigeria,England,Sweden,0.5,0.5,0.0,0,0,0,,27,12,19,15,-7,8
2002,Group F,Nigeria,Sweden,Argentina,0.0,0.5,0.0,0,0,0,,27,19,3,8,16,24
2002,Group F,Nigeria,Sweden,England,0.0,0.5,0.5,0,0,0,,27,19,12,8,7,15
2002,Group F,Sweden,Argentina,England,0.5,0.0,0.5,0,0,0,,19,3,12,16,-9,7
2002,Group F,Sweden,Argentina,Nigeria,0.5,1.0,1.0,0,1,0,,19,3,27,16,-24,-8
2002,Group F,Sweden,England,Argentina,0.5,1.0,0.5,0,1,0,,19,12,3,7,9,16
2002,Group F,Sweden,England,Nigeria,0.5,0.5,1.0,0,0,0,,19,12,27,7,-15,-8
2002,Group F,Sweden,Nigeria,Argentina,1.0,0.0,0.5,1,0,0,,19,27,3,-8,24,16
2002,Group F,Sweden,Nigeria,England,1.0,0.5,0.5,1,0,0,,19,27,12,-8,15,7
2002,Group G,Croatia,Ecuador,Italy,0.0,0.0,1.0,0,0,0,,21,36,6,-15,30,15
2002,Group G,Croatia,Ecuador,Mexico,0.0,0.0,0.0,0,0,0,,21,36,7,-15,29,14
2002,Group G,Croatia,Italy,Ecuador,1.0,1.0,0.0,1,1,1,0,21,6,36,15,-30,-15
2002,Group G,Croatia,Italy,Mexico,1.0,0.5,0.0,1,0,0,,21,6,7,15,-1,14
2002,Group G,Croatia,Mexico,Ecuador,0.0,1.0,0.0,0,1,0,,21,7,36,14,-29,-15
2002,Group G,Croatia,Mexico,Italy,0.0,0.5,1.0,0,0,0,,21,7,6,14,1,15
2002,Group G,Ecuador,Croatia,Italy,1.0,1.0,0.0,1,1,1,0,36,21,6,15,15,30
2002,Group G,Ecuador,Croatia,Mexico,1.0,0.0,0.0,1,0,0,,36,21,7,15,14,29
2002,Group G,Ecuador,Italy,Croatia,0.0,0.0,1.0,0,0,0,,36,6,21,30,-15,15
2002,Group G,Ecuador,Italy,Mexico,0.0,0.5,0.0,0,0,0,,36,6,7,30,-1,29
2002,Group G,Ecuador,Mexico,Croatia,0.0,1.0,1.0,0,1,0,,36,7,21,29,-14,15
2002,Group G,Ecuador,Mexico,Italy,0.0,0.5,0.0,0,0,0,,36,7,6,29,1,30
2002,Group G,Italy,Croatia,Ecuador,0.0,0.0,1.0,0,0,0,,6,21,36,-15,-15,-30
2002,Group G,Italy,Croatia,Mexico,0.0,0.0,0.5,0,0,0,,6,21,7,-15,14,-1
2002,Group G,Italy,Ecuador,Croatia,1.0,1.0,0.0,1,1,1,0,6,36,21,-30,15,-15
2002,Group G,Italy,Ecuador,Mexico,1.0,0.0,0.5,1,0,0,,6,36,7,-30,29,-1
2002,Group G,Italy,Mexico,Croatia,0.5,1.0,0.0,0,1,0,,6,7,21,-1,-14,-15
2002,Group G,Italy,Mexico,Ecuador,0.5,1.0,1.0,0,1,0,,6,7,36,-1,-29,-30
2002,Group G,Mexico,Croatia,Ecuador,1.0,0.0,1.0,1,0,0,,7,21,36,-14,-15,-29
2002,Group G,Mexico,Croatia,Italy,1.0,1.0,0.5,1,1,1,0,7,21,6,-14,15,1
2002,Group G,Mexico,Ecuador,Croatia,1.0,1.0,1.0,1,1,1,1,7,36,21,-29,15,-14
2002,Group G,Mexico,Ecuador,Italy,1.0,0.0,0.5,1,0,0,,7,36,6,-29,30,1
2002,Group G,Mexico,Italy,Croatia,0.5,0.0,1.0,0,0,0,,7,6,21,1,-15,-14
2002,Group G,Mexico,Italy,Ecuador,0.5,1.0,1.0,0,1,0,,7,6,36,1,-30,-29
2002,Group H,Belgium,Japan,Russia,0.5,1.0,1.0,0,1,0,,23,32,28,-9,4,-5
2002,Group H,Belgium,Japan,Tunisia,0.5,1.0,0.5,0,1,0,,23,32,31,-9,1,-8
2002,Group H,Belgium,Russia,Japan,1.0,0.0,0.5,1,0,0,,23,28,32,-5,-4,-9
2002,Group H,Belgium,Russia,Tunisia,1.0,1.0,0.5,1,1,1,0,23,28,31,-5,-3,-8
2002,Group H,Belgium,Tunisia,Japan,0.5,0.0,0.5,0,0,0,,23,31,32,-8,-1,-9
2002,Group H,Belgium,Tunisia,Russia,0.5,0.0,1.0,0,0,0,,23,31,28,-8,3,-5
2002,Group H,Japan,Belgium,Russia,0.5,1.0,1.0,0,1,0,,32,23,28,9,-5,4
2002,Group H,Japan,Belgium,Tunisia,0.5,0.5,1.0,0,0,0,,32,23,31,9,-8,1
2002,Group H,Japan,Russia,Belgium,1.0,0.0,0.5,1,0,0,,32,28,23,4,5,9
